Metric,Baseline,AI Optimized,Delta,Change (%)
Total Combined Energy (kWh),24.69,73.57,-48.88,-198.0%
  - Electricity Energy (kWh),9.03,9.03,+0.00,+0.0%
  - Natural Gas Energy (kWh thermal),15.66,64.54,-48.88,-312.2%
Total Combined Cost ($ USD),$1.45,$3.41,$-1.96,-134.4%
  - Electricity Cost ($ USD),$0.83,$0.83,$+0.00,+0.0%
  - Natural Gas Cost ($ USD),$0.63,$2.58,$-1.96,-312.2%
Unoccupied Energy (kWh),17.55,27.58,-10.04,-57.2%
Peak Demand (kW),2.99,19.46,-16.47,-550.9%
Carbon Emissions (kg CO2),6.37,15.22,-8.85,-138.9%
Occupied Comfort PMV Compliance (%),23.4%,24.5%,+1.1pp,N/A
Peak-Hour Comfort Compliance (%),27.1%,28.6%,+1.4pp,N/A
IAQ Flow Monitored (%) [Schedule-driven],0.0%,0.0%,+0.0pp,N/A
