Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](Hourly),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](Hourly),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](Hourly),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](Hourly),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),SPACE1-1:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),SPACE2-1:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),SPACE3-1:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),SPACE4-1:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),SPACE5-1:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 01/15  01:00:00,-10.875,-6.647604432525132,-6.718707397026143,-6.720415421783377,-6.718480989598603,-6.720297271182947,-6.714748131061789,15.576537070814291,778.7567643968207,0.0,16.898147222687054,0.0,44.04875210843079,16.991731664304606,0.0,52.25766582529354,16.895862203206523,0.0,46.92378010567427,16.977923116649343,0.0,56.646392283561,18.961177222420016,0.0,216.58807119454048,0.0,3.1782435488395615,0.0,0.0,-1.374703436976661,-1.345443813406696,-1.374731650309938,-1.3478219894851917,-0.8994010015692792,10.496689061534406,0.0,4.543153443895239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1782435488395615,3.9728044360494517,0.0,0.0,7.22,7.22,0.0,0.0,69.85001128520418,0.00006186192896470426,7.22,0.0,15.20342188546964,0.0021663637881945467,-6.706219504608054,16.21034583600609,0.3705044250126874,0.0021663637881945467,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-10.875,0.00621144618492455,0.0013447060680377239,11.5,-10.875,0.00621144618492455,0.0013447060680377239,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  02:00:00,-14.4,-6.829027362713269,-6.96670971921322,-6.938229008189285,-6.968916676471873,-6.933419555884914,-6.998281966296068,15.218803259407627,802.8664181629622,0.0,16.7001883199496,215.64919209078573,0.0,16.707194574992243,17.68766452236241,13.028838725415483,16.700134566436315,196.80380774173767,0.0,16.70343534218926,18.941246166521353,13.121556767446805,18.82051042896959,0.0,222.07517250490628,0.0,254.5654173614609,0.0,0.0,-1.437612309602064,-1.4179235003899437,-1.436079417570836,-1.418853566487288,-0.9290690530450431,271.1969746757686,51.969640797025704,249.38717813430358,57.74894530902806,0.0,0.0,64.28157430472154,0.0,0.0,0.0,0.0,254.5654173614609,318.20677170182614,0.0,0.0,7.22,7.22,0.0,0.0,64.91582532441157,0.0033658202477151768,7.22,0.0,14.820751423350348,0.0021324134374811005,-6.8707377085948504,15.999724228027157,0.3705044250126874,0.0021324134374811005,16.0,82.0,0.0,0.0003417585944944913,0.0,7.22,0.0,-14.4,0.00621144618492455,0.0009729852389768747,11.5,-14.4,0.00621144618492455,0.0009729852389768747,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  03:00:00,-14.4,-7.090634324483588,-7.23180642918496,-7.188793510826461,-7.2360021154466985,-7.183356374819251,-7.296675308736453,14.79565207099516,946.4978436181282,0.0,16.700169188534723,397.4768409972142,0.0,16.70001668212225,103.90945950965693,0.0,16.70044364029227,373.2078295758272,0.0,16.700219735675642,104.75514340606782,0.0,18.69472280520558,0.0,212.1479977442619,0.0,954.7528724563053,0.0,0.0,-1.4526421773797642,-1.4364529243228328,-1.4508890541264683,-1.4364991516063337,-0.9562811628422018,453.0178764397281,150.73363321545477,425.8098664253151,156.4396429123207,0.0,0.0,216.74494840632195,0.0,0.0,0.0,0.0,954.7528724563053,1193.4410905703817,0.0,0.0,7.22,7.22,0.0,0.0,53.09581961245091,0.007747546375849186,7.22,0.0,14.412738123045063,0.002085256938310825,-7.127582046559252,15.999760013591528,0.3705044250126874,0.002085256938310825,16.0,82.0,0.0,0.001293575701032678,0.0,7.22,0.0,-14.4,0.00621144618492455,0.0009893179501187614,11.5,-14.4,0.00621144618492455,0.0009893179501187614,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  04:00:00,-14.0875,-7.354465345590873,-7.44604877233879,-7.405660538974968,-7.45071281425793,-7.401594502193399,-7.525364126436768,14.397475256142531,1090.411066442932,0.0,16.7001313443493,360.81715328879375,0.0,16.69987901283536,99.25699400026906,0.0,16.69985590950264,337.38726904747284,0.0,16.700460786609888,99.60273068095847,0.0,18.695247849584852,0.0,212.1650685768425,0.0,1509.7069003840143,0.0,0.0,-1.458377433239505,-1.444033919714204,-1.4569800116783367,-1.4439540134187474,-0.9659606138232713,416.3433694794075,146.06305368407126,389.93406554717274,151.29524445856097,0.0,0.0,366.6825173506534,0.0,0.0,0.0,0.0,1509.7069003840143,1887.133625480018,0.0,0.0,7.22,7.22,0.0,0.0,48.315568907506844,0.010724359359979741,7.22,0.0,14.011442005714802,0.002037852708124481,-7.391199484935981,15.999825262122293,0.3705044250126874,0.002037852708124481,16.0,82.0,0.0,0.0023636333317499226,0.0,7.22,0.0,-14.0875,0.00621144618492455,0.001018211771287306,11.5,-14.0875,0.00621144618492455,0.001018211771287306,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  05:00:00,-13.212500000000002,-7.496004270779381,-7.552139813523433,-7.5487305091133905,-7.553969245519682,-7.549863265391624,-7.602986205859562,14.088306840484913,1210.017249915862,0.0,16.699520118704186,399.1376750638325,0.0,16.70032191481885,121.39029011795719,0.0,16.69999529030582,377.8365716328231,0.0,16.700148808383585,121.31677814819591,0.0,18.68497838553737,0.0,211.34534440820283,0.0,1880.2675357941966,0.0,0.0,-1.460179922718823,-1.446751607400568,-1.4587686088264218,-1.4467841911749735,-0.9691807091392368,454.59831978966383,168.21715681584914,430.37741883959,172.97689853935077,0.0,0.0,483.24161845948595,0.0,0.0,0.0,0.0,1880.2675357941966,2350.334419742746,0.0,0.0,7.22,7.22,0.0,0.0,52.051671081927736,0.015081850331657645,7.22,0.0,13.699490628801694,0.002008574361324609,-7.556643180785594,15.999900620600798,0.3705044250126874,0.002008574361324609,16.0,82.0,0.0,0.0032737784707085635,0.0,7.22,0.0,-13.212500000000002,0.00621144618492455,0.001111051525636922,11.5,-13.212500000000002,0.00621144618492455,0.001111051525636922,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  06:00:00,-12.425,-7.666968035763332,-7.7699546615738395,-7.751097014804353,-7.7720759389269665,-7.748071781906228,-7.821079867948988,13.859327745339515,1284.0010132410493,0.0,16.699931038439185,456.0495819549417,0.0,16.70033017689947,146.36939974832728,0.0,16.70026040950873,432.94940615019476,0.0,16.70042228089914,146.29550942584507,0.0,18.555125916128368,0.0,201.1087162959987,0.0,2082.7042291504044,0.0,0.0,-1.4618117089723688,-1.4483897886154455,-1.460361427535972,-1.448358834648436,-0.991963977202511,511.5431798377458,193.19314957419715,485.51045167540696,197.97143733650185,0.0,0.0,569.6915605482216,0.0,0.0,0.0,0.0,2082.7042291504044,2603.3802864380054,0.0,0.0,7.22,7.22,0.0,0.0,55.84422880626355,0.01906075026620686,7.22,0.0,13.468080553604715,0.0019842128621818094,-7.703426381104248,15.999951551099317,0.3705044250126874,0.0019842128621818094,16.0,82.0,0.0,0.003992810956923717,0.0,7.22,0.0,-12.425,0.00621144618492455,0.0011001629899321317,11.5,-12.425,0.00621144618492455,0.0011001629899321317,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  07:00:00,-10.825,-7.884908651403424,-7.995086720380711,-7.960739681415679,-7.998569537313765,-7.956194022181464,-8.061260755170158,13.712105241678197,1333.4150168897072,0.0,16.69964500841198,444.03415201170037,0.0,16.699606361641287,144.16035065977843,0.0,16.7001890426328,424.1466571564487,0.0,16.7000956449307,144.5129734505026,0.0,18.481883625285136,0.0,195.32579562219547,0.0,2063.5674453504826,0.0,0.0,-1.4596047574660447,-1.4470153682623867,-1.45829559000561,-1.4469121112563506,-1.0064692552934438,499.5010734468172,190.92981524397797,476.69876884219127,196.15816925737278,0.0,0.0,620.9858521815768,0.0,0.0,0.0,0.0,2063.5674453504826,2579.459306688103,0.0,0.0,7.22,7.22,0.0,0.0,58.60863367328696,0.021092925346203002,7.22,0.0,13.330688718713787,0.0019502959632651915,-7.904564496003923,15.999999745773822,0.3705044250126874,0.0019502959632651915,16.0,82.0,0.0,0.00443676566361703,0.0,7.22,0.0,-10.825,0.00621144618492455,0.00120562004559206,11.5,-10.825,0.00621144618492455,0.00120562004559206,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  08:00:00,-8.9375,-8.095875273966426,-8.187130836463147,-8.145068076732583,-8.19159501307328,-8.140107049291112,-8.265755462695797,13.646560315559963,1352.8620549119405,0.0,16.700212475930993,348.269850281265,0.0,16.789747372038914,34.21026680379646,31.35843878072683,16.700306512143957,316.36598158142573,0.0,16.699884920638112,99.8635896903782,0.0,18.411646578157967,0.0,189.7767292462541,0.0,1756.4985635120877,0.0,0.0,-1.4507042347718977,-1.4006377155305332,-1.4484985194703424,-1.4385118540666226,-1.0195123262759718,403.77048472296053,55.63674539949278,368.9159872902893,151.4824069036283,0.0,0.0,642.0097536687118,0.0,0.0,0.0,0.0,1756.4985635120877,2195.6232043901095,0.0,0.0,7.22,7.22,0.0,0.0,61.15951725707647,0.020084759295567828,7.22,0.0,13.27436640800861,0.0019180370134135802,-8.094719154806999,16.000106821617948,0.3705044250126874,0.0019180370134135802,16.0,82.0,0.0,0.004622705755708246,0.0,7.22,0.0,-8.9375,0.00621144618492455,0.0014363859802563907,11.5,-8.9375,0.00621144618492455,0.0014363859802563907,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  09:00:00,-6.924999999999999,-8.25175866013114,-8.294847541694917,-8.26184308008992,-8.298876399380415,-8.258664933677668,-8.368512342405031,13.723384113285373,1369.6171707009428,0.0,16.706227683025954,93.04713525931757,14.385965454011568,17.679793802940488,0.0,112.29561626905937,16.70025350225974,75.99456306467198,10.817347228660964,16.701021228739013,11.849825853187951,18.394082284826283,18.384025565438755,0.0,187.61811110793505,0.0,1117.5516015127587,0.0,0.0,-1.4263187936914006,-1.166449906379463,-1.4269013192913642,-1.4191101374366835,-1.0227876464075327,134.6546360375563,0.0,117.73817049141594,45.1772023546699,0.0,0.0,613.1825282535222,0.0,0.0,0.0,0.0,1117.5516015127587,1396.9395018909481,0.0,0.0,7.22,7.22,0.0,0.0,65.52638531847155,0.016057383319800354,7.22,0.0,13.351114073184103,0.0018932678583357906,-8.242674566966521,15.99981801889857,0.3705044250126874,0.0018932678583357906,16.0,82.0,0.0,0.004369110690487587,0.0,7.22,0.0,-6.924999999999999,0.00621144618492455,0.001721951555160849,11.5,-6.924999999999999,0.00621144618492455,0.001721951555160849,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
 01/15  10:00:00,-5.0375,-8.31620472446798,-8.322403668311289,-8.311624660029828,-8.324475197865993,-8.31124876121855,-8.369915190574947,14.037957676498724,1408.104277354717,0.0,17.108902244515157,0.0,87.91149388407374,19.454984767418402,0.0,230.95492610734462,16.847786133186567,0.0,63.632854228316944,16.83951982260984,0.0,61.93971555087586,18.398364138994907,0.0,188.74967171224483,0.0,581.996379771909,0.0,0.0,-1.3150204468709703,-0.7371224250150938,-1.3787699215771816,-1.3749177871604166,-1.015060389787915,0.0,0.0,0.0,0.0,0.0,0.0,498.6150455999601,0.0,0.0,0.0,0.0,581.996379771909,727.4954747148862,0.0,0.0,7.22,7.22,0.0,0.0,69.5884202751939,0.011130157323610525,7.22,0.0,13.657667238021528,0.0018811540100353772,-8.315671691808035,15.999766842703814,0.3705044250126874,0.0018811540100353772,16.0,82.0,0.0,0.00340312692488456,0.0,7.22,0.0,-5.0375,0.00621144618492455,0.0018341833987260384,11.5,-5.0375,0.00621144618492455,0.0018341833987260384,4.5,0.0013178188447261145,0.0011113348901602958,0.0012475859008705638,0.0012263393380220577,0.0013083672111455183 
